Movie Title,World Wide,Deomestic,Foreign
Mad Max: Fury Road,"$379,436,354","$153,636,354","$225,800,000"
The Good Dinosaur,"$332,207,671","$123,087,120","$209,120,551"
Taken 3,"$326,479,141","$89,256,424","$237,222,717"
The SpongeBob Movie: Sponge Out of Water,"$325,186,032","$162,994,032","$162,192,000"
Maze Runner: The Scorch Trials,"$312,296,056","$81,697,192","$230,598,864"
The Divergent Series: Insurgent,"$297,002,527","$130,179,072","$166,823,455"
Pitch Perfect 2,"$287,144,079","$184,296,230","$102,847,849"
Mojin: The Lost Legend,"$259,368,448","$1,243,810","$258,124,638"
Lost in Hong Kong,"$256,283,912","$1,302,281","$254,981,631"
The Peanuts Movie,"$246,233,113","$130,178,411","$116,054,702"
Pixels,"$244,874,809","$78,747,585","$166,127,224"
Daddy's Home,"$242,786,137","$150,357,137","$92,429,000"
Spy,"$235,666,219","$110,825,712","$124,840,507"
Alvin and the Chipmunks: The Road Chip,"$234,798,636","$85,886,987","$148,911,649"
Goodbye Mr. Loser,"$228,122,928","$1,293,626","$226,829,302"
Ted 2,"$215,863,606","$81,476,385","$134,387,221"
Tomorrowland,"$209,035,668","$93,436,322","$115,599,346"
Everest,"$203,427,584","$43,482,270","$159,945,314"
Straight Outta Compton,"$201,634,991","$161,197,785","$40,437,206"
The Intern,"$194,764,672","$75,764,672","$119,000,000"
Jian Bing Man,"$186,683,536",-,"$186,683,536"
Jupiter Ascending,"$184,287,723","$47,387,723","$136,900,000"
Creed,"$174,167,581","$109,767,581","$64,400,000"
Fantastic Four,"$167,882,881","$56,117,548","$111,765,333"
Bridge of Spies,"$165,478,348","$72,313,754","$93,164,594"
From Vegas to Macau II,"$163,877,532",-,"$163,877,532"
Focus,"$159,162,963","$53,862,963","$105,300,000"
Goosebumps,"$158,260,952","$80,080,379","$78,180,573"
Ip Man 3,"$156,954,938","$2,679,437","$154,275,501"
The Hateful Eight,"$155,760,117","$54,117,416","$101,642,701"
Monkey King: Hero Is Back,"$153,262,397",-,"$153,262,397"
Gods of Egypt,"$150,680,864","$31,153,464","$119,527,400"
The Last Witch Hunter,"$146,936,910","$27,367,660","$119,569,250"
Trainwreck,"$140,795,793","$110,212,700","$30,583,093"
Mr. Six,"$139,191,345","$1,415,450","$137,775,895"
Point Break,"$133,782,481","$28,782,481","$105,000,000"
The Big Short,"$133,440,870","$70,259,870","$63,181,000"
Pan,"$128,988,320","$35,088,320","$93,900,000"
Detective Chinatown,"$125,842,935","$474,252","$125,368,683"
Wolf Totem,"$125,837,070","$210,591","$125,626,479"
Ride Along 2,"$124,605,297","$91,221,830","$33,383,467"
Magic Mike XXL,"$122,613,057","$66,013,057","$56,600,000"
Dragon Blade,"$122,593,849","$74,068","$122,519,781"
Insidious: Chapter 3,"$112,983,889","$52,218,558","$60,765,331"
Get Hard,"$111,811,453","$90,411,453","$21,400,000"
The Man from U.N.C.L.E.,"$110,045,109","$45,445,109","$64,600,000"
The 5th Wave,"$109,906,372","$34,916,787","$74,989,585"
Paul Blart: Mall Cop 2,"$107,588,225","$71,038,190","$36,550,035"
Vacation,"$107,228,221","$58,884,188","$48,344,033"
Chronicles of the Ghostly Tribe,"$106,380,000",-,"$106,380,000"
Shaun the Sheep Movie,"$106,209,378","$19,375,982","$86,833,396"
Sisters,"$105,011,053","$87,044,645","$17,966,408"
Chappie,"$102,811,889","$31,569,268","$71,242,621"
Joy,"$101,134,059","$56,451,232","$44,682,827"
Black Mass,"$99,975,678","$62,575,678","$37,400,000"
Spotlight,"$98,690,254","$45,055,776","$53,634,478"
Devil and Angel,"$98,599,942","$131,058","$98,468,884"
The Visit,"$98,450,062","$65,206,105","$33,243,957"
The Little Prince,"$97,571,250","$1,339,152","$96,232,098"
Assassination,"$96,119,773","$1,904,682","$94,215,091"
Poltergeist,"$95,437,994","$47,425,125","$48,012,869"
Veteran,"$94,393,020","$1,200,627","$93,192,393"
In the Heart of the Sea,"$94,320,758","$25,020,758","$69,300,000"
Kill Zone 2,"$93,638,358","$11,998","$93,626,360"
Southpaw,"$91,970,827","$52,421,953","$39,548,874"
The Second Best Exotic Marigold Hotel,"$85,978,266","$33,078,266","$52,900,000"
Paper Towns,"$85,512,300","$32,000,304","$53,511,996"
Sicario,"$84,872,444","$46,889,293","$37,983,151"
Our Times,"$83,867,493",-,"$83,867,493"
Suck Me Shakespeer 2,"$83,027,924",-,"$83,027,924"
Hitman: Agent 47,"$82,347,656","$22,467,450","$59,880,206"
Wolf Warrior,"$81,411,331",-,"$81,411,331"
Go Away Mr. Tumor,"$80,606,893","$286,639","$80,320,254"
The Wedding Ringer,"$79,799,880","$64,460,211","$15,339,669"
Paranormal Activity: The Ghost Dimension,"$78,903,124","$18,300,124","$60,603,000"
The Left Ear,"$78,015,473",-,"$78,015,473"
Tiny Times 4.0,"$77,750,000",-,"$77,750,000"
Bajrangi Bhaijaan,"$75,547,184","$8,178,001","$67,369,183"
War Room,"$73,267,874","$67,790,117","$5,477,757"
The Transporter Refueled,"$72,629,670","$16,029,670","$56,600,000"
Run All Night,"$71,661,644","$26,461,644","$45,200,000"
13 Hours,"$69,411,370","$52,853,219","$16,558,151"
Running Man,"$68,782,475","$310,978","$68,471,497"
A Violent Prosecutor,"$66,736,633",-,"$66,736,633"
The Age of Adaline,"$65,663,276","$42,629,776","$23,033,500"
Monk Comes Down the Mountain,"$64,455,686",-,"$64,455,686"
Zhongkui: Snow Girl and the Dark Crystal,"$64,325,947","$165,428","$64,160,519"
The Danish Girl,"$64,191,523","$11,114,018","$53,077,505"
The Boy,"$64,188,367","$35,819,556","$28,368,811"
The Hundred Regiments Offensive,"$63,230,000",-,"$63,230,000"
The Longest Ride,"$62,944,815","$37,446,117","$25,498,698"
Unfriended,"$62,882,090","$32,482,090","$30,400,000"
Brooklyn,"$62,076,141","$38,322,743","$23,753,398"
Dragon Ball Z: Resurrection 'F',"$61,768,190","$8,008,363","$53,759,827"
Woman in Gold,"$61,619,773","$33,307,793","$28,311,980"
Krampus,"$61,548,707","$42,725,475","$18,823,232"
The Perfect Guy,"$60,273,173","$57,027,435","$3,245,738"
Forever Young,"$59,981,902","$149,761","$59,832,141"
Miss Granny,"$59,396,311","$234,573","$59,161,738"
The Gift,"$58,978,653","$43,787,265","$15,191,388"
You Are My Sunshine,"$56,640,000",-,"$56,640,000"
No Escape,"$54,418,872","$27,288,872","$27,130,000"
Sinister 2,"$53,329,150","$27,740,955","$25,588,195"
Detective Conan: Sunflowers of Inferno,"$52,920,296",-,"$52,920,296"
Prem Ratan Dhan Payo,"$52,715,771","$4,364,639","$48,351,132"
The Boy Next Door,"$52,425,855","$35,423,380","$17,002,475"
The Night Before,"$52,395,996","$43,047,372","$9,348,624"
Hollywood Adventures,"$52,265,070",-,"$52,265,070"
"Yo-kai Watch Movie: It's the Secret of Birth, Meow!","$51,838,845","$257,343","$51,581,502"
Hot Pursuit,"$51,680,201","$34,580,201","$17,100,000"
The Himalayas,"$50,544,493","$696,717","$49,847,776"
The Boy and the Beast,"$49,714,378","$490,643","$49,223,735"
Surprise,"$49,567,466",-,"$49,567,466"
Entourage,"$49,263,404","$32,363,404","$16,900,000"
The Woman in Black 2: Angel of Death,"$48,854,305","$26,501,323","$22,352,982"
Concussion,"$48,623,572","$34,542,474","$14,081,098"
Inside Men,"$47,616,503",-,"$47,616,503"
The Dead End,"$47,600,000",-,"$47,600,000"
Boonie Bears: A Mystical Winter,"$47,581,416",-,"$47,581,416"
Mortdecai,"$47,275,695","$7,696,134","$39,579,561"
Let's Get Married,"$45,972,724","$462,918","$45,509,806"
Somewhere Only We Know,"$45,737,711","$482,341","$45,255,370"
"McFarland, USA","$45,710,059","$44,482,410","$1,227,649"
Hero,"$45,565,534","$88,675","$45,476,859"
Still Alice,"$44,779,195","$18,754,371","$26,024,824"
Max,"$43,956,255","$42,656,255","$1,300,000"
The DUFF,"$43,709,744","$34,030,343","$9,679,401"
Legend,"$42,972,994","$1,872,994","$41,100,000"
The Gallows,"$42,964,410","$22,764,410","$20,200,000"
Love the Coopers,"$42,426,912","$26,302,731","$16,124,181"
The Throne,"$42,165,755",-,"$42,165,755"
The Lady in the Van,"$41,387,687","$10,021,175","$31,366,512"
Ricki and the Flash,"$41,325,328","$26,822,144","$14,503,184"
Spanish Affair 2,"$40,591,862",-,"$40,591,862"
Carol,"$40,272,135","$12,711,491","$27,560,644"
Northern Limit Line,"$40,034,677","$337,907","$39,696,770"
Ex-Files 2: The Backup Strikes Back,"$39,108,291",-,"$39,108,291"
Criminal,"$38,803,993","$14,708,696","$24,095,297"
Boruto: Naruto the Movie,"$38,362,448","$919,651","$37,442,797"
The Lazarus Effect,"$38,356,892","$25,801,570","$12,555,322"
Helios,"$37,938,005",-,"$37,938,005"
A Walk in the Woods,"$37,461,274","$29,504,281","$7,956,993"
Ex Machina,"$36,869,414","$25,442,958","$11,426,456"
Burnt,"$36,606,743","$13,651,946","$22,954,797"
The Priests,"$36,577,134","$185,093","$36,392,041"
The New Adventures of Aladdin,"$35,771,820",-,"$35,771,820"
Heidi,"$35,755,670",-,"$35,755,670"
Room,"$35,401,758","$14,677,654","$20,724,104"
Lost and Love,"$34,930,177","$188,817","$34,741,360"
Secret in Their Eyes,"$34,854,990","$20,180,155","$14,674,835"
"Dad, Where Are We Going 2","$34,840,000",-,"$34,840,000"
Doraemon: Nobita no uchuu eiyuuki,"$34,811,747",-,"$34,811,747"
Steve Jobs,"$34,441,873","$17,766,658","$16,675,215"
Victor Frankenstein,"$34,227,298","$5,775,076","$28,452,222"
The Witness,"$33,963,557","$418,063","$33,545,494"
Project Almanac,"$33,213,241","$22,348,241","$10,865,000"
Dilwale,"$31,994,323","$4,871,263","$27,123,060"
Suffragette,"$31,972,096","$4,702,420","$27,269,676"
Self/less,"$31,807,156","$12,279,691","$19,527,465"
Saving Mr. Wu,"$31,222,161","$92,696","$31,129,465"
Attack on Titan Part 1,"$30,810,658","$449,523","$30,361,135"
A Man Called Ove,"$30,692,889","$3,479,315","$27,213,574"
Far from the Madding Crowd,"$30,229,977","$12,236,500","$17,993,477"
Mr. Holmes,"$29,355,203","$17,737,646","$11,617,557"
Love & Mercy,"$28,641,776","$12,551,031","$16,090,745"
Flying Colors,"$28,525,563",-,"$28,525,563"
Triumph in the Skies,"$28,085,162",-,"$28,085,162"
The 33,"$27,972,023","$12,227,722","$15,744,301"
Bride Wars,"$27,670,000",-,"$27,670,000"
Irrational Man,"$27,391,084","$4,030,360","$23,360,724"
Detective K: Secret of the Lost Island,"$27,387,870","$185,367","$27,202,503"
To the Fore,"$27,267,799",-,"$27,267,799"
American Ultra,"$27,262,374","$14,440,985","$12,821,389"
Orange,"$26,261,536",-,"$26,261,536"
Aloha,"$26,250,020","$21,067,116","$5,182,904"
Huevos: Little Rooster's Egg-cellent Adventure,"$25,892,561","$9,080,818","$16,811,743"
Dügün Dernek 2: Sünnet,"$25,836,668",-,"$25,836,668"
Look Who's Back,"$25,513,752",-,"$25,513,752"
Serial Teachers 2,"$25,364,150",-,"$25,364,150"
Wild City,"$24,817,852","$34,866","$24,782,986"
Transformers: Age of Extinction,"$1,104,054,072","$245,439,076","$858,614,996"
The Hobbit: The Battle of the Five Armies,"$956,019,788","$255,119,788","$700,900,000"
Guardians of the Galaxy,"$772,776,600","$333,176,600","$439,600,000"
Maleficent,"$758,410,378","$241,410,378","$517,000,000"
The Hunger Games: Mockingjay - Part 1,"$755,356,711","$337,135,885","$418,220,826"
X-Men: Days of Future Past,"$746,045,700","$233,921,534","$512,124,166"
Captain America: The Winter Soldier,"$714,421,503","$259,766,572","$454,654,931"
Dawn of the Planet of the Apes,"$710,644,566","$208,545,589","$502,098,977"
The Amazing Spider-Man 2,"$708,982,323","$202,853,933","$506,128,390"
Interstellar,"$681,070,397","$188,020,017","$493,050,380"
Big Hero 6,"$657,827,828","$222,527,828","$435,300,000"
How to Train Your Dragon 2,"$621,537,519","$177,002,924","$444,534,595"
American Sniper,"$547,626,372","$350,126,372","$197,500,000"
Godzilla,"$524,976,069","$200,676,069","$324,300,000"
Rio 2,"$498,781,117","$131,538,435","$367,242,682"
Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754","$293,800,000"
The Lego Movie,"$468,060,692","$257,760,692","$210,300,000"
Lucy,"$458,863,600","$126,663,600","$332,200,000"
Penguins of Madagascar,"$373,515,621","$83,850,911","$289,664,710"
Edge of Tomorrow,"$370,541,256","$100,206,256","$270,335,000"
Gone Girl,"$369,330,363","$167,767,189","$201,563,174"
Night at the Museum: Secret of the Tomb,"$363,204,635","$113,746,621","$249,458,014"
Noah,"$359,200,044","$101,200,044","$258,000,000"
The Maze Runner,"$348,319,861","$102,427,862","$245,891,999"
300: Rise of an Empire,"$337,580,051","$106,580,051","$231,000,000"
22 Jump Street,"$331,333,876","$191,719,337","$139,614,539"
The Fault in Our Stars,"$307,166,834","$124,872,350","$182,294,484"
Divergent,"$288,885,818","$150,947,895","$137,937,923"
Paddington,"$282,370,135","$76,271,832","$206,098,303"
Mr. Peabody & Sherman,"$275,698,039","$111,506,430","$164,191,609"
Neighbors,"$270,665,134","$150,157,400","$120,507,734"
Exodus: Gods and Kings,"$268,175,631","$65,014,513","$203,161,118"
Annabelle,"$257,047,661","$84,273,813","$172,773,848"
Hercules,"$244,819,862","$72,688,614","$172,131,248"
RoboCop,"$242,688,965","$58,607,007","$184,081,958"
The Imitation Game,"$233,555,708","$91,125,683","$142,430,025"
Non-Stop,"$222,809,600","$92,168,600","$130,641,000"
Dracula Untold,"$217,124,280","$56,280,355","$160,843,925"
The Expendables 3,"$214,657,577","$39,322,544","$175,335,033"
Into the Woods,"$212,902,372","$128,002,372","$84,900,000"
Fury,"$211,817,906","$85,817,906","$126,000,000"
Need for Speed,"$203,277,636","$43,577,636","$159,700,000"
The Other Woman,"$196,710,396","$83,911,193","$112,799,203"
The Equalizer,"$192,330,738","$101,530,738","$90,800,000"
Breakup Buddies,"$189,017,596","$777,896","$188,239,700"
Stand by Me Doraemon,"$183,442,714",-,"$183,442,714"
Serial Bad Weddings,"$176,404,493",-,"$176,404,493"
The Monkey King: Havoc in Heaven's Palace,"$175,835,580",-,"$175,835,580"
The Grand Budapest Hotel,"$172,936,941","$59,301,324","$113,635,617"
Dumb and Dumber To,"$169,837,010","$86,208,010","$83,629,000"
Into the Storm,"$161,502,194","$47,602,194","$113,900,000"
Unbroken,"$161,459,297","$115,637,895","$45,821,402"
The Monuments Men,"$155,641,650","$78,031,620","$77,610,030"
Ride Along,"$154,468,902","$134,938,200","$19,530,702"
Planes: Fire & Rescue,"$146,965,787","$59,165,787","$87,800,000"
The Taking of Tiger Mountain,"$141,654,055","$228,984","$141,425,071"
The Admiral: Roaring Currents,"$138,342,258","$2,589,811","$135,752,447"
Let's Be Cops,"$138,224,951","$82,390,774","$55,834,177"
Annie,"$136,853,506","$85,911,262","$50,942,244"
Jack Ryan: Shadow Recruit,"$135,503,748","$50,577,412","$84,926,336"
Blended,"$127,994,610","$46,294,610","$81,700,000"
Sex Tape,"$126,069,509","$38,543,473","$87,526,036"
The Theory of Everything,"$123,726,688","$35,893,537","$87,833,151"
The Nut Job,"$120,885,527","$64,251,541","$56,633,986"
Pompeii,"$117,831,631","$23,219,748","$94,611,883"
Seventh Son,"$114,178,613","$17,223,265","$96,955,348"
The Purge: Anarchy,"$111,928,365","$71,962,800","$39,965,565"
"Dad, Where Are We Going?","$111,870,000",-,"$111,870,000"
The Boxtrolls,"$108,255,770","$50,837,305","$57,418,465"
Horrible Bosses 2,"$107,645,357","$54,445,357","$53,200,000"
The Breakup Guru,"$106,980,263","$208,959","$106,771,304"
Ouija,"$103,590,271","$50,856,010","$52,734,261"
Birdman or (The Unexpected Virtue of Ignorance),"$103,215,094","$42,340,598","$60,874,496"
Transcendence,"$103,039,258","$23,022,309","$80,016,949"
Heaven Is for Real,"$101,888,019","$91,443,253","$10,444,766"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$100,654,149","$66,954,149","$33,700,000"
Tammy,"$100,375,432","$84,525,432","$15,850,000"
PK,"$100,370,104","$10,616,104","$89,754,000"
The Continent,"$100,125,957",-,"$100,125,957"
The Book of Life,"$99,783,556","$50,151,543","$49,632,013"
Ode to My Father,"$99,085,291","$2,300,121","$96,785,170"
Fleet of Time,"$94,244,191","$569,280","$93,674,911"
The Man from Macau,"$93,864,936",-,"$93,864,936"
Paranormal Activity: The Marked Ones,"$90,894,962","$32,462,372","$58,432,590"
The Hundred-Foot Journey,"$89,514,453","$54,240,821","$35,273,632"
Deliver Us from Evil,"$87,937,815","$30,577,122","$57,360,693"
A Million Ways to Die in the West,"$87,189,756","$43,139,300","$44,050,456"
Step Up All In,"$86,165,646","$14,904,384","$71,261,262"
John Wick,"$86,013,056","$43,037,835","$42,975,221"
The Judge,"$84,419,388","$47,119,388","$37,300,000"
Tiny Times 3.0,"$82,320,000",-,"$82,320,000"
Gone with the Bullets,"$81,387,479",-,"$81,387,479"
Muppets Most Wanted,"$80,383,113","$51,183,113","$29,200,000"
Spanish Affair,"$78,768,613",-,"$78,768,613"
If I Stay,"$78,274,843","$50,474,843","$27,800,000"
Head Full of Honey,"$78,127,384",-,"$78,127,384"
"I, Frankenstein","$76,801,179","$19,075,290","$57,725,889"
Crimson Peak,"$74,679,822","$31,090,320","$43,589,502"
My Old Classmate,"$73,052,128",-,"$73,052,128"
The Bélier Family,"$72,751,538",-,"$72,751,538"
Brick Mansions,"$71,416,730","$20,396,829","$51,019,901"
Son of God,"$70,829,270","$59,700,064","$11,129,206"
Think Like a Man Too,"$70,181,428","$65,182,182","$4,999,246"
Jersey Boys,"$67,647,013","$47,047,013","$20,600,000"
The Giver,"$66,980,456","$45,090,374","$21,890,082"
Selma,"$66,787,908","$52,076,908","$14,711,000"
Beijing Love Story,"$65,842,375","$428,318","$65,414,057"
The House That Never Dies,"$65,220,000",-,"$65,220,000"
The Pirates,"$64,858,224","$415,775","$64,442,449"
God's Not Dead,"$64,667,874","$60,755,732","$3,912,142"
The Pirate Fairy,"$63,998,725",-,"$63,998,725"
The Inbetweeners 2,"$63,852,235",-,"$63,852,235"
Begin Again,"$63,464,861","$16,170,632","$47,294,229"
The White Haired Witch of Lunar Kingdom,"$62,515,046",-,"$62,515,046"
The Walk,"$61,181,942","$10,137,502","$51,044,440"
Miss Granny,"$58,940,254",-,"$58,940,254"
A Walk Among the Tombstones,"$58,834,384","$26,307,600","$32,526,784"
Dolphin Tale 2,"$57,824,533","$42,024,533","$15,800,000"
St. Vincent,"$54,837,234","$44,137,712","$10,699,522"
No Good Deed,"$54,323,210","$52,543,632","$1,779,578"
Overheard 3,"$53,493,428",-,"$53,493,428"
Supercondriaque,"$53,425,036",-,"$53,425,036"
3 Days to Kill,"$53,260,230","$30,697,999","$22,562,231"
Rurouni Kenshin Part II: Kyoto Inferno,"$52,696,176",-,"$52,696,176"
Wild,"$52,501,541","$37,880,356","$14,621,185"
Magic in the Moonlight,"$51,029,361","$10,539,326","$40,490,035"
About Last Night,"$50,445,860","$48,637,684","$1,808,176"
Dearest 2014 Re-release,"$50,000,583",-,"$50,000,583"
Whiplash,"$48,982,041","$13,092,000","$35,890,041"
Chef,"$48,428,048","$31,424,003","$17,004,045"
Boyhood,"$48,137,666","$25,352,281","$22,785,385"
Coming Home,"$47,587,984","$377,607","$47,210,377"
Beauty and the Beast,"$47,430,624",-,"$47,430,624"
Nightcrawler,"$47,425,835","$32,381,217","$15,044,618"
Earth to Echo,"$45,681,062","$38,934,842","$6,746,220"
That Awkward Moment,"$45,640,143","$26,068,955","$19,571,188"
Love on the Cloud,"$45,386,560","$271,734","$45,114,826"
Oculus,"$44,446,287","$27,695,246","$16,751,041"
The Great Hypnotist,"$44,077,818",-,"$44,077,818"
Kick,"$43,996,483","$2,472,695","$41,523,788"
Asterix and Obelix: Mansion of the Gods,"$42,830,578",-,"$42,830,578"
Thermae Romae II,"$42,473,163",-,"$42,473,163"
Bang Bang,"$42,045,981","$2,546,172","$39,499,809"
Detective Conan: The Sniper from Another Dimension,"$42,028,116",-,"$42,028,116"
Rurouni Kenshin: The Legend Ends,"$41,900,000",-,"$41,900,000"
"As Above, So Below","$41,898,409","$21,321,100","$20,577,309"
This Is Where I Leave You,"$41,296,320","$34,296,320","$7,000,000"
Boonie Bears: To the Rescue,"$40,163,675",-,"$40,163,675"
The November Man,"$39,661,919","$25,018,119","$14,643,800"
Recep Ivedik 4,"$39,477,906",-,"$39,477,906"
Sin City: A Dame to Kill For,"$39,407,616","$13,757,804","$25,649,812"
The Gambler,"$39,280,992","$33,680,992","$5,600,000"
Samba,"$39,178,695","$151,530","$39,027,165"
Women Who Flirt,"$39,156,132","$375,495","$38,780,637"
Forbidden Empire 2014 Re-release,"$38,885,962",-,"$38,885,962"
The Best of Me,"$38,609,668","$26,766,213","$11,843,455"
Million Dollar Arm,"$38,483,455","$36,457,627","$2,025,828"
But Always,"$38,039,248","$430,760","$37,608,488"
Devil's Due,"$36,921,560","$15,821,461","$21,100,099"
A Most Wanted Man,"$36,233,517","$17,237,855","$18,995,662"
Kundo: Age of the Rampant,"$35,941,291","$280,958","$35,660,333"
Doraemon the Movie: The New Records of Nobita's Spaceblazer 2014 Re-release,"$35,861,856",-,"$35,861,856"
The Water Diviner,"$35,396,641","$4,196,641","$31,200,000"
When Marnie Was There,"$34,949,567","$561,085","$34,388,482"
Endless Love,"$34,718,173","$23,438,250","$11,279,923"
Black & White: The Dawn of Justice,"$34,146,896",-,"$34,146,896"
"My Love, Don't Cross That River","$34,012,261",-,"$34,012,261"
Don't Go Breaking My Heart 2,"$33,801,759",-,"$33,801,759"
Get on Up,"$33,448,971","$30,703,100","$2,745,871"
Girls,"$33,325,338",-,"$33,325,338"
The Crossing,"$32,806,475",-,"$32,806,475"
Old Boys: The Way of the Dragon,"$32,800,000",-,"$32,800,000"
Tinker Bell and the Legend of the NeverBeast,"$31,836,701",-,"$31,836,701"
The Four 3,"$31,521,335",-,"$31,521,335"
Wild Tales,"$31,478,893","$3,106,530","$28,372,363"
Tazza: The Hidden Card,"$31,278,476","$251,555","$31,026,921"
Mrs. Brown's Boys D'Movie,"$31,116,264",-,"$31,116,264"
Rise of the Legend,"$30,932,534",-,"$30,932,534"
Winter's Tale,"$30,800,231","$12,600,231","$18,200,000"
When the Game Stands Tall,"$30,138,754","$30,127,963","$10,791"
Draft Day,"$29,824,199","$28,842,237","$981,962"
Big Eyes,"$29,253,166","$14,482,031","$14,771,135"
The Fatal Encounter,"$29,060,186",-,"$29,060,186"
Maya the Bee Movie,"$28,638,603",-,"$28,638,603"
Pokémon the Movie: Diancie and the Cocoon of Destruction,"$28,595,105",-,"$28,595,105"
The Divine Move,"$27,926,871","$136,707","$27,790,164"
Nicholas on Holiday,"$27,567,832",-,"$27,567,832"
Grace of Monaco,"$27,515,247",-,"$27,515,247"
Left Behind,"$27,405,896","$14,019,924","$13,385,972"
Joy of Fatherhood,"$27,088,817",-,"$27,088,817"
A Hard Day,"$26,488,847","$19,004","$26,469,843"
Top Five,"$26,117,471","$25,317,471","$800,000"
Iceman,"$26,033,917","$7,679","$26,026,238"
Meet Miss Anxiety,"$25,948,636",-,"$25,948,636"
"Love, Rosie","$25,574,387","$20,431","$25,553,956"
A Haunted House 2,"$25,358,716","$17,329,486","$8,029,230"
And So It Goes,"$25,312,387","$15,160,801","$10,151,586"
Kung Fu Jungle,"$24,070,765","$129,784","$23,940,981"
Hot Road,"$22,916,313",-,"$22,916,313"
Fading Gigolo,"$22,706,304","$3,769,873","$18,936,431"
Frozen,"$1,280,802,282","$400,738,009","$880,064,273"
Iron Man 3,"$1,214,811,252","$409,013,994","$805,797,258"
Despicable Me 2,"$970,766,005","$368,065,385","$602,700,620"
The Hobbit: The Desolation of Smaug,"$958,366,855","$258,366,855","$700,000,000"
The Hunger Games: Catching Fire,"$865,011,746","$424,668,047","$440,343,699"
Fast & Furious 6,"$788,679,850","$238,679,850","$550,000,000"
Monsters University,"$743,559,607","$268,492,764","$475,066,843"
Gravity,"$723,192,705","$274,092,705","$449,100,000"
Man of Steel,"$670,145,518","$291,045,518","$379,100,000"
Thor: The Dark World,"$644,783,140","$206,362,140","$438,421,000"
The Croods,"$587,204,668","$187,168,425","$400,036,243"
World War Z,"$540,007,876","$202,359,711","$337,648,165"
Oz the Great and Powerful,"$493,311,825","$234,911,825","$258,400,000"
Star Trek Into Darkness,"$467,365,246","$228,778,661","$238,586,585"
The Wolverine,"$414,828,246","$132,556,852","$282,271,394"
Pacific Rim,"$411,002,906","$101,802,906","$309,200,000"
The Wolf of Wall Street,"$392,000,694","$116,900,694","$275,100,000"
G.I. Joe: Retaliation,"$375,740,705","$122,523,060","$253,217,645"
The Hangover Part III,"$362,000,072","$112,200,072","$249,800,000"
The Great Gatsby,"$353,641,895","$144,840,419","$208,801,476"
Now You See Me,"$351,723,989","$117,723,989","$234,000,000"
The Smurfs 2,"$347,545,360","$71,017,784","$276,527,576"
The Conjuring,"$319,494,638","$137,400,141","$182,094,497"
A Good Day to Die Hard,"$304,654,182","$67,349,198","$237,304,984"
Oblivion,"$286,168,572","$89,107,235","$197,061,337"
Elysium,"$286,140,700","$93,050,117","$193,090,583"
Turbo,"$282,570,682","$83,028,128","$199,542,554"
Cloudy with a Chance of Meatballs 2,"$274,325,949","$119,793,567","$154,532,382"
Epic,"$268,426,634","$107,518,682","$160,907,952"
The Lone Ranger,"$260,502,115","$89,302,115","$171,200,000"
American Hustle,"$251,171,807","$150,117,807","$101,054,000"
Grown Ups 2,"$246,984,278","$133,668,525","$113,315,753"
After Earth,"$243,611,982","$60,522,097","$183,089,885"
Planes,"$239,258,712","$90,288,712","$148,970,000"
The Heat,"$229,930,771","$159,582,188","$70,348,583"
Hansel & Gretel: Witch Hunters,"$226,349,749","$55,703,475","$170,646,274"
Captain Phillips,"$218,791,811","$107,100,855","$111,690,956"
Journey to the West: Conquering the Demons,"$205,637,183","$18,058","$205,619,125"
White House Down,"$205,366,737","$73,103,784","$132,262,953"
Percy Jackson: Sea of Monsters,"$199,850,315","$68,559,554","$131,290,761"
Jack the Giant Slayer,"$197,687,603","$65,187,603","$132,500,000"
The Secret Life of Walter Mitty,"$188,133,322","$58,236,838","$129,896,484"
12 Years a Slave,"$187,733,202","$56,671,993","$131,061,209"
The Butler,"$177,313,795","$116,632,095","$60,681,700"
Identity Thief,"$173,965,010","$134,506,920","$39,458,090"
Anchorman 2: The Legend Continues,"$171,464,676","$125,168,368","$46,296,308"
Olympus Has Fallen,"$170,270,201","$98,925,640","$71,344,561"
Insidious: Chapter 2,"$161,919,318","$83,586,447","$78,332,871"
Lone Survivor,"$154,802,912","$125,095,601","$29,707,311"
Jackass Presents: Bad Grandpa,"$151,826,547","$102,003,019","$49,823,528"
47 Ronin,"$151,783,839","$38,362,475","$113,421,364"
RED 2,"$148,075,565","$53,262,560","$94,813,005"
Mama,"$146,428,180","$71,628,180","$74,800,000"
Escape Plan,"$137,328,301","$25,135,965","$112,192,336"
2 Guns,"$131,940,411","$75,612,460","$56,327,951"
This Is the End,"$126,041,322","$101,470,202","$24,571,120"
Ender's Game,"$125,544,024","$61,737,191","$63,806,833"
Prisoners,"$122,126,687","$61,002,302","$61,124,385"
Jurassic Park 2013 Re-release,"$118,192,315","$45,385,935","$72,806,380"
Saving Mr. Banks,"$117,867,984","$83,301,580","$34,566,404"
Warm Bodies,"$116,980,662","$66,380,662","$50,600,000"
Personal Tailor,"$116,126,458","$375,892","$115,750,566"
So Young,"$114,926,694","$11,186","$114,915,508"
Free Birds,"$110,387,072","$55,750,480","$54,636,592"
Gangster Squad,"$105,200,903","$46,000,903","$59,200,000"
Instructions Not Included,"$100,486,616","$44,467,206","$56,019,410"
