Movie Title,World Wide,Deomestic,Foreign
50 km/h,"$2,448,047",-,"$2,448,047"
National Theatre Live: Vanya,"$2,445,415",-,"$2,445,415"
Noah's Ark,"$2,363,219",-,"$2,363,219"
14 jours pour aller mieux,"$2,357,682",-,"$2,357,682"
The Good Teacher,"$2,340,886",-,"$2,340,886"
Tati Part Time,"$2,330,252",-,"$2,330,252"
White Bird,"$2,326,201",-,"$2,326,201"
Bonnard: Pierre & Marthe,"$2,310,595",-,"$2,310,595"
Premalu,"$2,310,220",-,"$2,310,220"
Too Old for Fairy Tales 2,"$2,303,649",-,"$2,303,649"
Atatürk 1881 - 1919 Film 2 Release,"$2,287,455",-,"$2,287,455"
Picnic,"$2,256,981",-,"$2,256,981"
Tillu Square,"$2,217,419","$1,870,000","$347,419"
It's Raining Men,"$2,196,213",-,"$2,196,213"
Shrek 2 2024 Re-release,"$2,166,110","$2,166,110",-
SUGA: Agust D Tour 'D-DAY' the Movie,"$2,156,639","$1,951,896","$204,743"
Don't Lose Your Head!,"$2,113,320",-,"$2,113,320"
Todas menos tú,"$2,110,306",-,"$2,110,306"
The Ark and the Darkness,"$2,097,560","$2,097,560",-
Race for Glory: Audi vs. Lancia,"$2,073,009",-,"$2,073,009"
Aristokratka ve varu,"$2,035,808",-,"$2,035,808"
Out of Darkness,"$1,987,281","$1,951,547","$35,734"
Nedelja,"$1,905,017",-,"$1,905,017"
Salle des profs,"$1,855,403",-,"$1,855,403"
Un altro Ferragosto,"$1,842,935",-,"$1,842,935"
YA - medved,"$1,842,294",-,"$1,842,294"
Love You as the World Ends: Episode #4.5,"$1,814,466",-,"$1,814,466"
Komandir,"$1,808,588",-,"$1,808,588"
Valle de sombras,"$1,805,813",-,"$1,805,813"
Adam & Eve,"$1,782,241",-,"$1,782,241"
El correo,"$1,772,843",-,"$1,772,843"
Kardes Takimi,"$1,748,615",-,"$1,748,615"
La ferme des Bertrand,"$1,719,910",-,"$1,719,910"
Teri Baaton Mein Aisa Uljha Jiya,"$1,699,722",-,"$1,699,722"
Dead Man,"$1,689,878",-,"$1,689,878"
Like a Prince,"$1,681,549",-,"$1,681,549"
Madame de Sévigné,"$1,640,410",-,"$1,640,410"
I Did It My Way,"$1,628,896","$198,405","$1,430,491"
A Silence,"$1,562,685",-,"$1,562,685"
Romeo è Giulietta,"$1,555,180",-,"$1,555,180"
Dune IMAX,"$1,550,188","$570,000","$980,188"
Homeward,"$1,513,132",-,"$1,513,132"
Let's Go Karaoke!,"$1,510,372",-,"$1,510,372"
Shaitaan,"$1,501,788",-,"$1,501,788"
National Theatre Live: Dear England,"$1,484,667",-,"$1,484,667"
Mothers' Instinct,"$1,484,190",-,"$1,484,190"
Off-Season,"$1,481,675",-,"$1,481,675"
Matka v trapu,"$1,477,538",-,"$1,477,538"
The Promised Land,"$1,468,092","$257,749","$1,210,343"
Et plus si affinités,"$1,455,065",-,"$1,455,065"
Irklais per Atlanta,"$1,414,722",-,"$1,414,722"
Karaoké,"$1,404,406",-,"$1,404,406"
Pozyvnoy «Passazhir»,"$1,403,328",-,"$1,403,328"
Miller's Girl,"$1,398,715",-,"$1,398,715"
The Long Game,"$1,393,190","$1,393,190",-
Bramayugam,"$1,388,375",-,"$1,388,375"
White Courage,"$1,373,237",-,"$1,373,237"
Les chèvres!,"$1,317,742",-,"$1,317,742"
Firebrand,"$1,303,716",-,"$1,303,716"
Neon Genesis Evangelion: The End of Evangelion,"$1,302,300","$1,302,300",-
Sladky zivot,"$1,275,062",-,"$1,275,062"
Color of Victory,"$1,272,215",-,"$1,272,215"
A Nice Jewish Boy,"$1,267,653",-,"$1,267,653"
National Theatre Live: The Motive and the Cue,"$1,265,627",-,"$1,265,627"
Making Of,"$1,261,221",-,"$1,261,221"
Enea,"$1,241,570",-,"$1,241,570"
Unknown Title,"$1,218,850",-,"$1,218,850"
Meet the Leroys,"$1,177,743",-,"$1,177,743"
Políticamente incorrectos,"$1,155,013",-,"$1,155,013"
Dieci minuti,"$1,147,973",-,"$1,147,973"
This is My Mother,"$1,113,611",-,"$1,113,611"
Vojna policajtov,"$1,082,774",-,"$1,082,774"
Fuks 2,"$1,078,203",-,"$1,078,203"
Beautiful Wedding,"$1,078,020",-,"$1,078,020"
Ibelin,"$1,076,764",-,"$1,076,764"
Operation Valentine,"$1,076,193",-,"$1,076,193"
The Green Deal,"$1,066,078",-,"$1,066,078"
Amelia's Children,"$1,015,828","$11,073","$1,004,755"
Tainted Soul,"$1,007,804",-,"$1,007,804"
Kos,"$995,030",-,"$995,030"
Abraham Ozler,"$978,538",-,"$978,538"
Now or Never!,"$974,028",-,"$974,028"
Milosc jak miód,"$959,551",-,"$959,551"
Cem Karaca'nin Gözyaslari,"$957,421",-,"$957,421"
Victoria må dø,"$953,884",-,"$953,884"
The Glory of Life,"$947,881",-,"$947,881"
Bade Miyan Chote Miyan,"$920,395","$689,505","$230,890"
Kim Dae Jung on the Road,"$912,784",-,"$912,784"
Tombés du camion,"$910,532",-,"$910,532"
Hatiran Yeter,"$882,564",-,"$882,564"
Efsane,"$880,678",-,"$880,678"
Erdal ile Ece,"$855,778",-,"$855,778"
Like a Son,"$843,477",-,"$843,477"
Sting,"$825,797","$825,797",-
Barbie,"$1,445,638,421","$636,238,421","$809,400,000"
The Super Mario Bros. Movie,"$1,362,052,250","$574,934,330","$787,117,920"
Oppenheimer,"$970,159,540","$329,862,540","$640,297,000"
Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815","$486,559,962"
Fast X,"$704,875,015","$146,126,015","$558,749,000"
Spider-Man: Across the Spider-Verse,"$690,615,475","$381,311,319","$309,304,156"
Wonka,"$632,302,312","$218,402,312","$413,900,000"
The Little Mermaid,"$569,626,289","$298,172,056","$271,454,233"
Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383","$395,400,000"
Elemental,"$496,444,308","$154,426,697","$342,017,611"
Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909","$261,566,271"
John Wick: Chapter 4,"$440,157,245","$187,131,806","$253,025,439"
Transformers: Rise of the Beasts,"$438,966,392","$157,066,392","$281,900,000"
Aquaman and the Lost Kingdom,"$434,381,226","$124,481,226","$309,900,000"
Meg 2: The Trench,"$397,700,317","$82,600,317","$315,100,000"
Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468","$209,482,589"
The Hunger Games: The Ballad of Songbirds & Snakes,"$337,371,917","$166,350,594","$171,021,323"
Migration,"$295,556,285","$127,306,285","$168,250,000"
Five Nights at Freddy's,"$291,493,620","$137,275,620","$154,218,000"
Creed III,"$276,148,615","$156,248,615","$119,900,000"
The Flash,"$271,333,313","$108,133,313","$163,200,000"
The Nun II,"$269,467,073","$86,267,073","$183,200,000"
Taylor Swift: The Eras Tour,"$261,656,269","$180,756,269","$80,900,000"
Wish,"$254,876,117","$63,973,821","$190,902,296"
Sound of Freedom,"$250,570,396","$184,178,046","$66,392,350"
Napoleon,"$221,033,011","$61,524,375","$159,508,636"
Anyone But You,"$218,761,610","$88,318,448","$130,443,162"
Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026","$114,900,000"
Trolls Band Together,"$207,741,941","$102,996,915","$104,745,026"
The Marvels,"$206,124,109","$84,500,223","$121,623,886"
PAW Patrol: The Mighty Movie,"$202,231,360","$65,231,360","$137,000,000"
The Equalizer 3,"$191,067,560","$92,373,751","$98,693,809"
Insidious: The Red Door,"$189,086,877","$82,156,962","$106,929,915"
Teenage Mutant Ninja Turtles: Mutant Mayhem,"$180,513,586","$118,613,586","$61,900,000"
The Boy and the Heron,"$173,310,343","$46,741,225","$126,569,118"
Scream VI,"$168,961,389","$108,161,389","$60,800,000"
Killers of the Flower Moon,"$157,026,901","$68,026,901","$89,000,000"
Evil Dead Rise,"$147,033,054","$67,233,054","$79,800,000"
The Exorcist: Believer,"$136,284,218","$65,537,395","$70,746,823"
Shazam! Fury of the Gods,"$134,038,006","$57,638,006","$76,400,000"
Blue Beetle,"$130,788,072","$72,488,072","$58,300,000"
A Haunting in Venice,"$122,290,456","$42,471,412","$79,819,044"
Gran Turismo,"$122,101,055","$44,428,554","$77,672,501"
Haunted Mansion,"$117,449,790","$67,653,287","$49,796,503"
Poor Things,"$117,022,347","$34,553,225","$82,469,122"
Godzilla Minus One,"$115,869,952","$56,418,793","$59,451,159"
Pathaan,"$112,583,450","$17,487,476","$95,095,974"
Saw X,"$111,823,047","$53,607,898","$58,215,149"
Detective Conan: Black Iron Submarine,"$106,771,806",-,"$106,771,806"
The Creator,"$104,272,136","$40,774,679","$63,497,457"
12.12: The Day,"$97,476,565",-,"$97,476,565"
Animal,"$92,870,227","$15,004,482","$77,865,745"
Talk to Me,"$92,181,735","$48,299,436","$43,882,299"
Air,"$90,060,106","$52,460,106","$37,600,000"
Cocaine Bear,"$88,314,672","$64,670,240","$23,644,432"
No Hard Feelings,"$87,256,407","$50,452,282","$36,804,125"
The Roundup: No Way Out,"$83,410,298","$909,411","$82,500,887"
The Pope's Exorcist,"$76,987,621","$20,009,380","$56,978,241"
Plane,"$74,515,586","$32,111,181","$42,404,405"
Titanic 25 Year Anniversary,"$70,157,472","$15,033,795","$55,123,677"
The Color Purple,"$67,519,191","$60,619,191","$6,900,000"
The Boogeyman,"$67,307,243","$43,244,282","$24,062,961"
Frozen 2023 Re-release (Sing -A-Long),"$62,846,398",-,"$62,846,398"
65,"$60,730,568","$32,062,904","$28,667,664"
Magic Mike's Last Dance,"$57,105,156","$26,005,156","$31,100,000"
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$56,319,351","$10,117,806","$46,201,545"
The Boys in the Boat,"$55,401,397","$52,641,306","$2,760,091"
Knock at the Cabin,"$54,760,947","$35,397,980","$19,362,967"
Mummies,"$54,475,970","$4,275,970","$50,200,000"
Jesus Revolution,"$54,295,801","$52,102,987","$2,192,814"
Asteroid City,"$53,857,743","$28,153,025","$25,704,718"
One Life,"$49,466,970","$5,400,128","$44,066,842"
Operation Fortune: Ruse de Guerre,"$48,983,306","$6,496,125","$42,487,181"
Missing,"$48,767,848","$32,502,025","$16,265,823"
Thanksgiving,"$46,553,280","$31,908,884","$14,644,396"
Asterix & Obelix: The Middle Kingdom,"$46,497,678",-,"$46,497,678"
Spy x Family Code: White,"$45,851,942",-,"$45,851,942"
Ruby Gillman: Teenage Kraken,"$45,528,749","$15,753,600","$29,775,149"
The Holdovers,"$44,332,233","$20,355,375","$23,976,858"
The Iron Claw,"$44,257,721","$35,070,296","$9,187,425"
There's Still Tomorrow,"$44,256,505",-,"$44,256,505"
