Movie Title,World Wide,Deomestic,imdbid,year,bt_score,submitterid,dubious,Score Category
Midway,127420861.0,56846802.0,6924650,2019,1,17449,0.0,Female characters have no dialogue
Last Christmas,123446172.0,35150750.0,8623904,2019,3,17442,0.0,Beschdel test passed
Zombieland: Double Tap,122810399.0,73123082.0,1560220,2019,3,17480,0.0,Beschdel test passed
Dora and the Lost City of Gold,120597108.0,60477943.0,7547410,2019,3,17332,0.0,Beschdel test passed
Wonder Park,119559110.0,45216793.0,6428676,2019,3,18454,0.0,Beschdel test passed
Pet Sematary,113118226.0,54724696.0,837563,2019,3,17306,1.0,Dubious
Pet Sematary,57469467.0,57469467.0,837563,2019,3,17306,1.0,Dubious
Good Boys,111173598.0,83140306.0,7343762,2019,3,17517,0.0,Beschdel test passed
Scary Stories to Tell in the Dark,104545505.0,68947075.0,3387520,2019,3,17379,0.0,Beschdel test passed
Five Feet Apart,92554209.0,45729221.0,6472976,2019,3,17290,0.0,Beschdel test passed
Crawl,91542097.0,39014193.0,8364368,2019,3,17255,1.0,Dubious
Rambo: Last Blood,91490353.0,44819352.0,1206885,2019,2,17515,1.0,Dubious
Jojo Rabbit,90335025.0,33370906.0,2584384,2019,3,17448,0.0,Beschdel test passed
Cold Pursuit,76419755.0,32138862.0,5719748,2019,1,16880,0.0,Female characters have no dialogue
Cats,75558925.0,27166770.0,5697572,2019,3,17513,0.0,Beschdel test passed
Doctor Sleep,72381712.0,31581712.0,5606664,2019,3,17464,0.0,Beschdel test passed
What Men Want,72216294.0,54611903.0,7634968,2019,1,17421,0.0,Female characters have no dialogue
After,69497587.0,12138565.0,4126476,2019,3,17424,0.0,Beschdel test passed
A Beautiful Day in the Neighborhood,67925733.0,61704055.0,3224458,2019,2,17459,0.0,Female character's dialogue is about boys
Happy Death Day 2U,64600152.0,28148130.0,8155288,2019,3,17001,0.0,Beschdel test passed
White Snake,62098770.0,34730.0,9288776,2019,3,19600,0.0,Beschdel test passed
Bombshell,61404394.0,31762808.0,6394270,2019,3,19738,0.0,Beschdel test passed
Ma,61220784.0,45896028.0,7958736,2019,3,17170,0.0,Beschdel test passed
Ready or Not,57615777.0,28714231.0,7798634,2019,3,17363,0.0,Beschdel test passed
Hellboy,55064690.0,21903748.0,167190,2004,1,7690,0.0,Female characters have no dialogue
Hellboy,99318987.0,59623958.0,167190,2004,1,7690,0.0,Female characters have no dialogue
Long Shot,53873809.0,30316271.0,2139881,2019,3,18082,0.0,Beschdel test passed
Just Mercy,50901502.0,36001502.0,4916630,2019,2,17590,0.0,Female character's dialogue is about boys
Uncut Gems,50023780.0,50023780.0,5727208,2019,2,17533,1.0,Dubious
Midsommar,47863365.0,27426361.0,8772262,2019,3,17241,0.0,Beschdel test passed
47 Meters Down: Uncaged,47582563.0,22260900.0,7329656,2019,3,18611,0.0,Beschdel test passed
Judy,45701880.0,24313888.0,7549996,2019,3,19863,0.0,Beschdel test passed
Richard Jewell,44645542.0,22345542.0,3513548,2019,3,18547,0.0,Beschdel test passed
Harriet,43347017.0,43082155.0,4648786,2019,3,17431,0.0,Beschdel test passed
Fighting with My Family,41503392.0,22958886.0,6513120,2019,3,16983,0.0,Beschdel test passed
Brightburn,33224654.0,17300439.0,7752126,2019,2,17193,0.0,Female character's dialogue is about boys
Anna,31626978.0,7743794.0,7456310,2019,3,17243,0.0,Beschdel test passed
My Hero Academia: Heroes Rising,29971229.0,13304000.0,11107074,2019,3,18564,0.0,Beschdel test passed
Gully Boy,28299498.0,5566534.0,2395469,2019,1,17048,1.0,Dubious
Missing Link,26565710.0,16649539.0,6348138,2019,1,17944,0.0,Female characters have no dialogue
Booksmart,24959607.0,22680962.0,1489887,2019,3,17146,0.0,Beschdel test passed
Pinocchio,23841090.0,1831718.0,4593060,2022,1,20438,0.0,Female characters have no dialogue
Pinocchio,23841090.0,1831718.0,32910,1940,1,158,0.0,Female characters have no dialogue
Pinocchio,41314585.0,3675719.0,4593060,2022,1,20438,0.0,Female characters have no dialogue
Pinocchio,41314585.0,3675719.0,32910,1940,1,158,0.0,Female characters have no dialogue
Late Night,22386555.0,15499454.0,6107548,2019,3,17190,0.0,Beschdel test passed
Unplanned,21585326.0,19005109.0,9024106,2019,3,17135,0.0,Beschdel test passed
Shaft,21360215.0,21360215.0,67741,1971,1,4150,0.0,Female characters have no dialogue
Shaft,107196498.0,70334258.0,67741,1971,1,4150,0.0,Female characters have no dialogue
Hotel Mumbai,21314816.0,9651611.0,5461944,2018,2,21176,0.0,Female character's dialogue is about boys
Greta,18653107.0,10532219.0,2639336,2018,3,16929,0.0,Beschdel test passed
Avengers: Infinity War,2048359754.0,678815482.0,4154756,2018,3,16012,0.0,Beschdel test passed
Black Panther,1346913161.0,700059566.0,1825683,2018,3,15763,0.0,Beschdel test passed
Jurassic World: Fallen Kingdom,1308467944.0,417719760.0,4881806,2018,3,16254,1.0,Dubious
Incredibles 2,1242805359.0,608581744.0,3606756,2018,3,16229,0.0,Beschdel test passed
Aquaman,1151961807.0,335061807.0,1477834,2018,3,16681,0.0,Beschdel test passed
Bohemian Rhapsody,903655259.0,216428042.0,1727824,2018,2,16561,0.0,Female character's dialogue is about boys
Venom,856085151.0,213515506.0,1270797,2018,1,16500,0.0,Female characters have no dialogue
Venom,5229643.0,5229643.0,1270797,2018,1,16500,0.0,Female characters have no dialogue
Deadpool 2,734546611.0,318491426.0,5463162,2018,2,16113,0.0,Female character's dialogue is about boys
Fantastic Beasts: The Crimes of Grindelwald,655755901.0,159555901.0,4123430,2018,2,16603,0.0,Female character's dialogue is about boys
Ant-Man and the Wasp,622674139.0,216648740.0,5095030,2018,3,16288,0.0,Beschdel test passed
Ready Player One,583490172.0,137690172.0,1677720,2018,3,15901,0.0,Beschdel test passed
Ralph Breaks the Internet,529323962.0,201091711.0,5848272,2018,3,16621,0.0,Beschdel test passed
Bumblebee,467989645.0,127195589.0,4701182,2018,3,16774,1.0,Dubious
A Star Is Born,436388866.0,215288866.0,1517451,2018,3,16498,0.0,Beschdel test passed
A Star Is Born,436388866.0,215288866.0,75265,1976,0,6174,0.0,Less than 2 named female characters
A Star Is Born,436388866.0,215288866.0,47522,1954,1,6079,0.0,Female characters have no dialogue
Rampage,428128233.0,101028233.0,2231461,2018,3,16404,0.0,Beschdel test passed
Rampage,796368.0,796368.0,2231461,2018,3,16404,0.0,Beschdel test passed
Mamma Mia! Here We Go Again,395044706.0,120634935.0,6911608,2018,3,16320,0.0,Beschdel test passed
Solo: A Star Wars Story,392924807.0,213767512.0,3778644,2018,2,16136,0.0,Female character's dialogue is about boys
Mary Poppins Returns,349537494.0,171958438.0,5028340,2018,3,16749,0.0,Beschdel test passed
A Quiet Place,340939361.0,188024361.0,6644200,2018,3,15961,0.0,Beschdel test passed
Green Book,321752656.0,85080171.0,6966692,2018,1,16659,0.0,Female characters have no dialogue
Pacific Rim: Uprising,290930148.0,59874525.0,2557478,2018,3,15918,0.0,Beschdel test passed
Maze Runner: The Death Cure,288175335.0,58032443.0,4500922,2018,3,15761,0.0,Beschdel test passed
Tomb Raider,274950803.0,58250803.0,1365519,2018,3,15896,0.0,Beschdel test passed
Halloween,255485178.0,159342015.0,1502407,2018,3,16538,0.0,Beschdel test passed
Halloween,255485178.0,159342015.0,373883,2007,3,6033,0.0,Beschdel test passed
Halloween,255485178.0,159342015.0,77651,1978,3,4264,1.0,Dubious
Halloween,80460948.0,58272029.0,1502407,2018,3,16538,0.0,Beschdel test passed
Halloween,80460948.0,58272029.0,373883,2007,3,6033,0.0,Beschdel test passed
Halloween,80460948.0,58272029.0,77651,1978,3,4264,1.0,Dubious
Halloween,47000000.0,47000000.0,1502407,2018,3,16538,0.0,Beschdel test passed
Halloween,47000000.0,47000000.0,373883,2007,3,6033,0.0,Beschdel test passed
Halloween,47000000.0,47000000.0,77651,1978,3,4264,1.0,Dubious
Crazy Rich Asians,239032921.0,174532921.0,3104988,2018,3,16397,0.0,Beschdel test passed
Smallfoot,217940103.0,83240103.0,6182908,2018,3,16492,0.0,Beschdel test passed
Creed II,214215889.0,115715889.0,6343314,2018,3,16674,0.0,Beschdel test passed
Christopher Robin,197744377.0,99215042.0,4575576,2018,2,16377,0.0,Female character's dialogue is about boys
Johnny English Strikes Again,158970776.0,4412170.0,6921996,2018,1,16487,0.0,Female characters have no dialogue
Red Sparrow,151572634.0,46874505.0,2873282,2018,3,15942,0.0,Beschdel test passed
A Wrinkle in Time,132675864.0,100478608.0,1620680,2018,3,16556,0.0,Beschdel test passed
Instant Family,120556201.0,67363237.0,7401588,2018,3,16938,0.0,Beschdel test passed
Game Night,117679066.0,69179066.0,2704998,2018,3,15818,0.0,Beschdel test passed
First Man,105697415.0,44936545.0,1213641,2018,3,16522,1.0,Dubious
Book Club,104438188.0,68566296.0,6857166,2018,3,16583,0.0,Beschdel test passed
Alpha,99630675.0,35857181.0,4244998,2018,0,16413,0.0,Less than 2 named female characters
A Simple Favor,97644617.0,53548586.0,7040874,2018,3,16480,0.0,Beschdel test passed
Truth or Dare,95330493.0,41411015.0,6772950,2018,3,16337,1.0,Dubious
