title,year,bt_score,dubious,imdbid,tmdbId,budget,id,popularity,revenue,Category,castMale,castFemale,castUnknown,CrewMale,CrewFemale,CrewUnknown,genre
Before the Fall,2004,1,0,384369,9393,4500000.0,9393,5.69684,3764219.0,Two named female character have no dialogue,4.0,8.0,0.0,3.0,7.0,0.0,Drama
House of D,2004,1,0,372334,24363,0.0,24363,4.587746,0.0,Two named female character have no dialogue,6.0,8.0,0.0,8.0,12.0,1.0,"Comedy, Drama"
Mindhunters,2004,1,0,297284,16617,27000000.0,16617,7.600017,21148829.0,Two named female character have no dialogue,5.0,9.0,0.0,76.0,54.0,5.0,"Mystery, Thriller, Crime"
One Point O,2004,1,0,317042,17110,0.0,17110,2.399033,0.0,Two named female character have no dialogue,1.0,4.0,0.0,1.0,2.0,0.0,Science Fiction
Dirty Dancing: Havana Nights,2004,3,0,338096,10677,25000000.0,10677,4.475359,27685016.0,Beschdel test passed!,10.0,9.0,0.0,5.0,11.0,0.0,"Drama, Romance"
"Punisher, The",2004,1,0,330793,7220,33000000.0,7220,18.250919,54700105.0,Two named female character have no dialogue,8.0,23.0,2.0,59.0,47.0,6.0,"Action, Crime, Drama"
Blade: Trinity,2004,3,0,359013,36648,65000000.0,36648,18.860681,128905366.0,Beschdel test passed!,7.0,13.0,0.0,92.0,59.0,4.0,"Science Fiction, Action, Horror, Thriller, Adventure, Fantasy"
"Edukators, The",2004,3,1,408777,276,0.0,276,5.681706,0.0,Dubious,7.0,5.0,0.0,6.0,8.0,0.0,"Drama, Comedy"
"Passion of the Christ, The",2004,3,0,335345,615,30000000.0,615,13.194168,611899420.0,Beschdel test passed!,11.0,11.0,2.0,73.0,42.0,4.0,Drama
Magyar vandor,2004,0,0,370919,66926,0.0,66926,0.353403,0.0,Two named female character not present,5.0,2.0,0.0,1.0,0.0,0.0,"Adventure, Comedy"
In my country,2004,3,0,349260,16635,12000000.0,16635,1.14196,163536.0,Beschdel test passed!,1.0,6.0,1.0,3.0,3.0,1.0,"Romance, Drama"
Hotel,2004,3,0,415855,52251,0.0,52251,0.579155,0.0,Beschdel test passed!,4.0,2.0,0.0,2.0,2.0,0.0,"Horror, Drama, Thriller"
Stuck in the Suburbs,2004,3,0,410696,115626,0.0,115626,6.508145,0.0,Beschdel test passed!,4.0,4.0,0.0,1.0,3.0,0.0,"Comedy, Family, Music, TV Movie"
Soul Plane,2004,3,0,367085,12657,16000000.0,12657,8.604389,14822346.0,Beschdel test passed!,20.0,13.0,0.0,4.0,9.0,0.0,"Romance, Comedy"
Pokemon the Movie: Destiny Deoxys,2004,1,0,435286,34065,0.0,34065,6.421866,0.0,Two named female character have no dialogue,4.0,5.0,0.0,1.0,1.0,0.0,"Adventure, Animation, Family, Fantasy"
